,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
149,0.0811225414276123,0.0029336518894653193,0.007002401351928711,0.0003486664276799306,1.0,0.03,8,4,50,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.5,0.6111111111111112,0.6222222222222222,0.6111111111111112,0.6111111111111112,0.5911111111111111,0.045758356182164464,1
139,0.363587474822998,0.03179621478085226,0.007978868484497071,9.801925678289428e-05,0.8,0.03,8,2,200,0.5,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.5833333333333334,0.5277777777777777,0.7222222222222222,0.4777777777777778,0.6111111111111112,0.5844444444444445,0.0828057372617187,2
118,0.31829495429992677,0.025857087912646938,0.006898164749145508,0.00016025510125964869,0.8,0.03,8,2,200,0.5,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.5833333333333334,0.5277777777777777,0.7222222222222222,0.4777777777777778,0.6111111111111112,0.5844444444444445,0.0828057372617187,2
22,0.31885766983032227,0.025133511951573675,0.00690302848815918,0.00010001920542075427,0.8,0.03,8,2,200,0.5,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.5833333333333334,0.5277777777777777,0.7222222222222222,0.4777777777777778,0.6111111111111112,0.5844444444444445,0.0828057372617187,2
126,2.5757402896881105,0.23911298627429017,0.007389879226684571,0.00038015958992775506,0.8,0.03,20,2,200,0.5,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.5833333333333334,0.5277777777777777,0.7222222222222222,0.4777777777777778,0.6111111111111112,0.5844444444444445,0.0828057372617187,2
127,0.36733460426330566,0.025476550695613148,0.008086729049682616,0.0003274365249669606,0.8,0.03,12,2,200,0.5,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.5833333333333334,0.5277777777777777,0.7222222222222222,0.4777777777777778,0.6111111111111112,0.5844444444444445,0.0828057372617187,2
128,0.3281578540802002,0.027962334773373385,0.00687861442565918,9.355066250245224e-05,0.8,0.03,12,2,200,0.5,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.5833333333333334,0.5277777777777777,0.7222222222222222,0.4777777777777778,0.6111111111111112,0.5844444444444445,0.0828057372617187,2
130,0.37180323600769044,0.03441431776452043,0.008119726181030273,0.00020523935427429864,0.8,0.03,12,2,200,0.5,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.5833333333333334,0.5277777777777777,0.7222222222222222,0.4777777777777778,0.6111111111111112,0.5844444444444445,0.0828057372617187,2
79,2.2903983116149904,0.028228391720411958,0.006889057159423828,0.00030229965557316467,1.0,0.03,20,2,200,1.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6064814814814816,0.5277777777777778,0.7222222222222222,0.43333333333333335,0.6111111111111112,0.5801851851851854,0.09605668194042861,9
77,0.3467822551727295,0.03455659890890729,0.006923770904541016,0.00020656724385142007,1.0,0.03,8,2,200,1.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6064814814814816,0.5277777777777778,0.7222222222222222,0.43333333333333335,0.6111111111111112,0.5801851851851854,0.09605668194042861,9
37,0.3625801086425781,0.032564980385149885,0.007985401153564452,0.00018600637057235837,0.8,0.03,8,2,200,1.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.5925925925925927,0.537037037037037,0.7222222222222222,0.43333333333333335,0.6111111111111112,0.5792592592592594,0.09455984235397304,11
88,0.3616520404815674,0.03142948345493524,0.007084941864013672,0.00030427193906187286,1.0,0.05,12,2,200,1.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.49537037037037046,0.587962962962963,0.7222222222222222,0.4777777777777778,0.6111111111111112,0.578888888888889,0.08816331957830996,12
59,0.19050540924072265,0.007815234167816229,0.0066966056823730465,9.562904713864238e-05,0.8,0.03,12,2,100,1.0,1.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.5925925925925927,0.537037037037037,0.7222222222222222,0.4222222222222222,0.6111111111111112,0.577037037037037,0.09802997777827901,13
108,0.27427148818969727,0.015490875027946749,0.0068662166595458984,0.00024725075719779364,0.6,0.03,8,2,200,1.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.5555555555555556,0.5324074074074074,0.7222222222222222,0.4111111111111111,0.6333333333333333,0.5709259259259258,0.10396725769276419,14
117,0.1462704658508301,0.015800420736490413,0.006793880462646484,0.0001787073835173599,1.0,0.5,12,2,100,1.0,1.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.550925925925926,0.5231481481481481,0.6666666666666667,0.5,0.6111111111111112,0.5703703703703704,0.06081578471730753,15
69,4.713455486297607,0.5358696266920072,0.007639932632446289,0.0006664028214973369,1.0,0.1,20,2,400,1.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 400), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.49537037037037046,0.5231481481481481,0.7222222222222222,0.5,0.6111111111111112,0.5703703703703704,0.08663223437567455,15
92,0.357178783416748,0.025408149739187483,0.006761407852172852,0.0001739700101140893,1.0,0.1,12,2,200,1.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.49537037037037046,0.5231481481481481,0.7222222222222222,0.5,0.6111111111111112,0.5703703703703704,0.08663223437567455,15
133,0.2997147083282471,0.041467164126688355,0.0067631244659423825,0.00014898644043989458,1.0,0.3,6,2,200,1.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.49537037037037046,0.5231481481481481,0.7222222222222222,0.5,0.6111111111111112,0.5703703703703704,0.08663223437567455,15
104,4.747635459899902,0.4624945434995831,0.0072995185852050785,0.0007683068154058871,1.0,0.075,20,2,400,1.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 400), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.49537037037037046,0.5231481481481481,0.7222222222222222,0.5,0.6111111111111112,0.5703703703703704,0.08663223437567455,15
