,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
48,0.08471808433532715,0.0011059043835858436,0.008912467956542968,0.00019245401717249706,0.6,0.075,6,6,50,1.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.5,0.5,0.6500000000000001,0.5222222222222221,0.5499999999999999,0.5444444444444445,0.055887894844263576,1
31,0.5209444522857666,0.00547707816666364,0.007922649383544922,0.00012955666465885607,0.6,0.075,20,6,50,1.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.5,0.5,0.6500000000000001,0.5222222222222221,0.5499999999999999,0.5444444444444445,0.055887894844263576,1
126,0.08289408683776855,0.004162922353981353,0.007952356338500976,0.0003418040328042681,0.6,0.075,12,6,50,1.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.5,0.5,0.6500000000000001,0.5222222222222221,0.5499999999999999,0.5444444444444445,0.055887894844263576,1
112,0.5339130401611328,0.00832401451274906,0.008455610275268555,0.0013236999649135798,0.6,0.075,20,6,50,1.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.5,0.5,0.6500000000000001,0.5222222222222221,0.5499999999999999,0.5444444444444445,0.055887894844263576,1
51,0.08037147521972657,0.001229330756413304,0.0077632427215576175,0.0001820170318439198,0.6,0.075,8,6,50,1.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.5,0.5,0.6500000000000001,0.5222222222222221,0.5499999999999999,0.5444444444444445,0.055887894844263576,1
50,0.05820574760437012,0.0006361242279977198,0.008068180084228516,0.00029176927339924394,0.6,0.075,12,6,20,1.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.5,0.5,0.6500000000000001,0.5222222222222221,0.5499999999999999,0.5444444444444445,0.055887894844263576,1
40,1.0872638702392579,0.1321967280285993,0.008005094528198243,0.0004860910219456505,0.6,0.075,20,6,100,1.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.5,0.5,0.6500000000000001,0.5222222222222221,0.5499999999999999,0.5444444444444445,0.055887894844263576,1
41,0.31281108856201173,0.011679877632059778,0.008789443969726562,0.00029294934680382945,0.6,0.075,20,6,20,1.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.5,0.5,0.6500000000000001,0.5222222222222221,0.5499999999999999,0.5444444444444445,0.055887894844263576,1
60,0.11989588737487793,0.001114596738106391,0.007861900329589843,0.0003386984236642465,0.6,0.075,12,6,100,1.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.5,0.5,0.6500000000000001,0.5222222222222221,0.5499999999999999,0.5444444444444445,0.055887894844263576,1
92,0.11704483032226562,0.0010623590688174684,0.00774688720703125,0.0001548709099017462,0.6,0.075,6,6,100,1.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.5,0.5,0.6500000000000001,0.5222222222222221,0.5499999999999999,0.5444444444444445,0.055887894844263576,1
