,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
149,0.27190604209899905,0.0038158569706975673,0.012289810180664062,0.00030086204398525196,0.8,0.075,8,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
117,0.27328643798828123,0.0031374761654069656,0.012218713760375977,0.00019914189235133083,0.8,0.075,12,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
116,0.2733577251434326,0.0063556880518707655,0.012271928787231445,0.00032900932550292795,0.8,0.075,8,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
115,1.038198471069336,0.0036276500003493604,0.012146615982055664,0.0002548558603552831,0.8,0.075,20,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
114,0.2697899341583252,0.002943741264339574,0.012271308898925781,0.0004190328068550926,0.8,0.075,6,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
113,0.2725968837738037,0.0025600733280627553,0.012342882156372071,0.0002636997176604061,0.8,0.075,12,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
111,0.27017903327941895,0.0027714259441403277,0.012069368362426757,0.00020483858730795985,0.8,0.075,8,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
110,0.2753026008605957,0.007741057344206154,0.012380313873291016,0.0007789521591614871,0.8,0.075,6,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
108,0.27391629219055175,0.0027086723812991854,0.012019586563110352,0.0001557654393713636,0.8,0.075,12,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
107,1.0413958072662353,0.0027558276639795755,0.012265300750732422,0.0004702211500710021,0.8,0.075,20,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
106,0.2709221363067627,0.0028346910585256703,0.012125110626220703,0.0001537009413094127,0.8,0.075,8,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
105,0.27270045280456545,0.003282915578288719,0.012164878845214843,0.00018006171697662284,0.8,0.075,6,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
104,0.2764091968536377,0.006441455760602529,0.012138462066650391,0.00018543194704240986,0.8,0.075,12,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
103,0.27025322914123534,0.003450238804665346,0.012626028060913086,0.0011504689415882641,0.8,0.075,8,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
118,0.271149206161499,0.0028059456761471706,0.012139558792114258,0.00027722645585236675,0.8,0.075,6,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
102,1.0395996570587158,0.0048131100387601745,0.011989450454711914,0.00010911745073976815,0.8,0.075,20,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
100,0.27584199905395507,0.003405209849723214,0.01217494010925293,7.032250464186808e-05,0.8,0.075,12,6,100,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 0.4)])",0.5786749482401656,0.6563146997929606,0.6997929606625258,0.6282828282828282,0.526984126984127,0.6180099127925215,0.06015677773467961,1
