,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
149,2.6403695583343505,0.027832934121384035,0.015938377380371092,0.00046810974374658003,0.6,0.1,20,2,200,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 1.0)])",0.7299847792998477,0.734855403348554,0.7622526636225265,0.8210045662100458,0.6980676328502416,0.7492330090662431,0.0412692947316751,1
111,2.669974660873413,0.023550497041745708,0.01580219268798828,0.00021768921398299506,0.6,0.1,20,2,200,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 1.0)])",0.7299847792998477,0.734855403348554,0.7622526636225265,0.8210045662100458,0.6980676328502416,0.7492330090662431,0.0412692947316751,1
112,2.669609785079956,0.023757041249480502,0.015734291076660155,0.00026038228210147995,0.6,0.1,20,2,200,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 1.0)])",0.7299847792998477,0.734855403348554,0.7622526636225265,0.8210045662100458,0.6980676328502416,0.7492330090662431,0.0412692947316751,1
113,2.674200248718262,0.02471045125026768,0.015887737274169922,0.0004894913778313173,0.6,0.1,20,2,200,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 1.0)])",0.7299847792998477,0.734855403348554,0.7622526636225265,0.8210045662100458,0.6980676328502416,0.7492330090662431,0.0412692947316751,1
114,2.6815897941589357,0.023055417208438633,0.01630425453186035,0.0010663793819161058,0.6,0.1,20,2,200,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 1.0)])",0.7299847792998477,0.734855403348554,0.7622526636225265,0.8210045662100458,0.6980676328502416,0.7492330090662431,0.0412692947316751,1
105,2.671339178085327,0.03154200500959713,0.01571478843688965,0.00012210556728175804,0.6,0.1,20,2,200,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 1.0)])",0.7299847792998477,0.734855403348554,0.7622526636225265,0.8210045662100458,0.6980676328502416,0.7492330090662431,0.0412692947316751,1
100,2.6702733516693113,0.025940719482992536,0.01579008102416992,0.00017065765403735512,0.6,0.1,20,2,200,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 1.0)])",0.7299847792998477,0.734855403348554,0.7622526636225265,0.8210045662100458,0.6980676328502416,0.7492330090662431,0.0412692947316751,1
118,2.6807940006256104,0.02919066923675303,0.01565079689025879,0.00019907493928690914,0.6,0.1,20,2,200,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 1.0)])",0.7299847792998477,0.734855403348554,0.7622526636225265,0.8210045662100458,0.6980676328502416,0.7492330090662431,0.0412692947316751,1
119,2.664982032775879,0.03305780690917819,0.016413259506225585,0.0010331257177227434,0.6,0.1,20,2,200,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 1.0)])",0.7299847792998477,0.734855403348554,0.7622526636225265,0.8210045662100458,0.6980676328502416,0.7492330090662431,0.0412692947316751,1
99,2.677052545547485,0.030490345049914422,0.016103649139404298,0.0006996192679827781,0.6,0.1,20,2,200,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 1.0)])",0.7299847792998477,0.734855403348554,0.7622526636225265,0.8210045662100458,0.6980676328502416,0.7492330090662431,0.0412692947316751,1
