,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
149,0.2236783504486084,0.0053099209510534305,0.012332820892333984,0.00037168955172522,0.6,0.05,8,2,20,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.6352291325695582,0.5585106382978724,0.6090425531914894,0.4779050736497545,0.7022332506203475,0.5965841296658043,0.07529235606148721,1
77,0.22007927894592286,0.005543561182397804,0.012496328353881836,0.00016323303946478212,0.6,0.05,8,2,20,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.6352291325695582,0.5585106382978724,0.6090425531914894,0.4779050736497545,0.7022332506203475,0.5965841296658043,0.07529235606148721,1
103,0.22180886268615724,0.004891146406951716,0.012420320510864257,0.00042306863543055856,0.6,0.05,8,2,20,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.6352291325695582,0.5585106382978724,0.6090425531914894,0.4779050736497545,0.7022332506203475,0.5965841296658043,0.07529235606148721,1
148,0.20853619575500487,0.00367793516023573,0.011284399032592773,0.00037376802095439075,0.6,0.05,8,2,20,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.6352291325695582,0.5585106382978724,0.6090425531914894,0.4779050736497545,0.7022332506203475,0.5965841296658043,0.07529235606148721,1
111,0.20962967872619628,0.004478311169836329,0.011170721054077149,0.00026115790881831583,0.6,0.05,8,2,20,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.6352291325695582,0.5585106382978724,0.6090425531914894,0.4779050736497545,0.7022332506203475,0.5965841296658043,0.07529235606148721,1
112,0.21027555465698242,0.0032624506016119825,0.011536931991577149,0.00034845354861243123,0.6,0.05,8,2,20,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.6352291325695582,0.5585106382978724,0.6090425531914894,0.4779050736497545,0.7022332506203475,0.5965841296658043,0.07529235606148721,1
116,0.2075932502746582,0.005646330004818137,0.011144018173217774,0.00023881948143680926,0.6,0.05,8,2,20,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.6352291325695582,0.5585106382978724,0.6090425531914894,0.4779050736497545,0.7022332506203475,0.5965841296658043,0.07529235606148721,1
117,0.2182539939880371,0.00619125671872882,0.012151241302490234,0.00012788511226637537,0.6,0.05,8,2,20,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.6352291325695582,0.5585106382978724,0.6090425531914894,0.4779050736497545,0.7022332506203475,0.5965841296658043,0.07529235606148721,1
134,0.2230292320251465,0.004438857406747069,0.012261390686035156,0.00028922203964453484,0.6,0.05,8,2,20,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.6352291325695582,0.5585106382978724,0.6090425531914894,0.4779050736497545,0.7022332506203475,0.5965841296658043,0.07529235606148721,1
115,0.20752792358398436,0.003686724230729731,0.011157464981079102,0.0002297515240831499,0.6,0.05,8,2,20,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.6352291325695582,0.5585106382978724,0.6090425531914894,0.4779050736497545,0.7022332506203475,0.5965841296658043,0.07529235606148721,1
