,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
68,0.34862442016601564,0.00597705506873592,0.014758682250976563,0.0007880893959512909,0.8,0.1,6,4,50,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.5815051020408163,0.518987341772152,0.4962281038230405,0.4912813226556445,0.5858951175406872,0.5347793975664681,0.041045784396347845,1
36,0.38564338684082033,0.004148218043935851,0.014507198333740234,0.0003179410434803385,0.8,0.075,8,4,50,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.566454081632653,0.5201380897583429,0.5014704002045774,0.5047145440454663,0.5768535262206148,0.5339261283723309,0.031615281709755486,2
43,0.37908549308776857,0.0025262918477544413,0.014287757873535156,0.000511875381260725,0.8,0.075,8,4,50,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.566454081632653,0.5201380897583429,0.5014704002045774,0.5047145440454663,0.5768535262206148,0.5339261283723309,0.031615281709755486,2
73,0.14610462188720702,0.0022826299424067976,0.01409611701965332,0.0002776381477053091,0.8,0.1,6,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.5339285714285713,0.5459659890039636,0.5012146784298683,0.5136269697752519,0.5728493929217257,0.5335171203118761,0.025064864381439806,4
105,0.1479018211364746,0.0032783975098786364,0.014327764511108398,0.0004988331373931711,0.8,0.1,6,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.5339285714285713,0.5459659890039636,0.5012146784298683,0.5136269697752519,0.5728493929217257,0.5335171203118761,0.025064864381439806,4
90,0.14881548881530762,0.0021540060112325895,0.013859415054321289,0.0002790392463079485,0.8,0.1,8,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.5313775510204082,0.5459659890039636,0.5012146784298683,0.5136269697752519,0.5728493929217257,0.5330069162302435,0.025077256851604963,6
111,0.1479649543762207,0.0026369727534107453,0.014342069625854492,0.0004434669914263896,0.8,0.1,8,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.5313775510204082,0.5459659890039636,0.5012146784298683,0.5136269697752519,0.5728493929217257,0.5330069162302435,0.025077256851604963,6
79,0.1498727321624756,0.0020545993004391543,0.014452075958251953,0.0004884152163444881,0.8,0.1,12,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.5313775510204082,0.5459659890039636,0.5012146784298683,0.5136269697752519,0.5728493929217257,0.5330069162302435,0.025077256851604963,6
98,0.14886798858642578,0.003704728876917555,0.014029169082641601,0.00030750716295798754,0.8,0.1,12,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.5313775510204082,0.5459659890039636,0.5012146784298683,0.5136269697752519,0.5728493929217257,0.5330069162302435,0.025077256851604963,6
95,0.24072885513305664,0.0038856474737169106,0.013239526748657226,0.00024682017143902685,0.8,0.1,20,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.5313775510204082,0.5459659890039636,0.5012146784298683,0.5136269697752519,0.5728493929217257,0.5330069162302435,0.025077256851604963,6
18,0.22901277542114257,0.004600971199880749,0.014345407485961914,0.00032239238496326543,0.6,0.075,12,2,20,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.5876275510204081,0.5166858457997698,0.5283211865490347,0.48831051407904935,0.5356497029191424,0.5313189600734808,0.03244149766681838,11
77,0.2576413631439209,0.006005740194814858,0.014391803741455078,0.0003727437499174028,0.6,0.075,8,6,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.5687499999999999,0.5375271704385629,0.510548523206751,0.4720356497029191,0.5667786101782486,0.5311279907052964,0.036449282574831474,12
114,0.5021860599517822,0.0035896170151741643,0.014156818389892578,0.00033549809737455654,0.6,0.075,20,6,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.5687499999999999,0.5375271704385629,0.510548523206751,0.4720356497029191,0.5667786101782486,0.5311279907052964,0.036449282574831474,12
100,0.26119108200073243,0.003386803830428248,0.014583683013916016,0.0003349195578514777,0.6,0.075,12,6,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.5687499999999999,0.5375271704385629,0.510548523206751,0.4720356497029191,0.5667786101782486,0.5311279907052964,0.036449282574831474,12
69,0.17247791290283204,0.004724092362240876,0.01438593864440918,0.0006467504291185304,0.8,0.1,6,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.553826530612245,0.5178365937859609,0.5246132208157525,0.4999354172048566,0.5594161715319039,0.5311255867901438,0.02239430713307964,15
119,0.5021439552307129,0.005688675204540938,0.015087890625,0.0005630173123252852,0.6,0.05,12,2,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 50), ('subsample', 0.4)])",0.5618622448979592,0.5221838639560159,0.5108042449814602,0.5129811418238182,0.5446912942392147,0.5305045579796935,0.019743223696231604,16
11,0.4453246593475342,0.004368290952170586,0.014719772338867187,0.00040312419126032364,1.0,0.1,12,4,50,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('subsample', 0.4)])",0.5621173469387755,0.566423730980693,0.4867663981588032,0.4850813743218807,0.5510204081632653,0.5302818517126835,0.036569112024560445,17
