,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
147,0.14900574684143067,0.0007278848014230862,0.014320755004882812,0.00034213581480072134,0.8,0.1,6,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.5339285714285713,0.5459659890039636,0.5012146784298683,0.5136269697752519,0.5728493929217257,0.5335171203118761,0.025064864381439806,1
126,0.14598188400268555,0.0007122757440829973,0.013820838928222657,0.00013299127682639422,0.8,0.1,6,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.5339285714285713,0.5459659890039636,0.5012146784298683,0.5136269697752519,0.5728493929217257,0.5335171203118761,0.025064864381439806,1
128,0.149839448928833,0.0054528617527303865,0.013785934448242188,0.0003713382526515228,0.8,0.1,8,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.5313775510204082,0.5459659890039636,0.5012146784298683,0.5136269697752519,0.5728493929217257,0.5330069162302435,0.025077256851604963,3
127,0.2420300006866455,0.0012783141980374903,0.01398453712463379,0.00018515861311731933,0.8,0.1,20,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.5313775510204082,0.5459659890039636,0.5012146784298683,0.5136269697752519,0.5728493929217257,0.5330069162302435,0.025077256851604963,3
131,0.14776191711425782,0.0024549515604276708,0.014042901992797851,0.0007726132806953557,0.8,0.1,12,6,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 0.4)])",0.5313775510204082,0.5459659890039636,0.5012146784298683,0.5136269697752519,0.5728493929217257,0.5330069162302435,0.025077256851604963,3
122,0.7272439002990723,0.005705989134253526,0.014460420608520508,0.00043703103926009056,0.6,0.05,20,2,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 50), ('subsample', 0.4)])",0.5729591836734695,0.5272982994501982,0.5146400716020969,0.5111728235598036,0.5328080599328339,0.5317756876436806,0.02206943809161201,6
116,0.25873441696166993,0.0039149782093477825,0.014408588409423828,0.00028892948091010487,0.6,0.075,8,6,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.5687499999999999,0.5375271704385629,0.510548523206751,0.4720356497029191,0.5667786101782486,0.5311279907052964,0.036449282574831474,7
81,0.4994798183441162,0.005065682002918129,0.014285421371459961,0.00020325564076064146,0.6,0.075,20,6,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.5687499999999999,0.5375271704385629,0.510548523206751,0.4720356497029191,0.5667786101782486,0.5311279907052964,0.036449282574831474,7
119,0.2616328239440918,0.006311749937733041,0.014390945434570312,0.0003233520281324293,0.6,0.075,12,6,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.5687499999999999,0.5375271704385629,0.510548523206751,0.4720356497029191,0.5667786101782486,0.5311279907052964,0.036449282574831474,7
83,0.25510444641113283,0.0024857249277671846,0.014326190948486328,0.0005001565523311671,0.6,0.075,8,6,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.5687499999999999,0.5375271704385629,0.510548523206751,0.4720356497029191,0.5667786101782486,0.5311279907052964,0.036449282574831474,7
84,0.2589146137237549,0.0032017162318521415,0.01407933235168457,9.900774664493996e-05,0.6,0.075,12,6,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.5687499999999999,0.5375271704385629,0.510548523206751,0.4720356497029191,0.5667786101782486,0.5311279907052964,0.036449282574831474,7
132,0.16806578636169434,0.004411220460334425,0.0138916015625,0.0003013882670033622,0.8,0.1,6,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.553826530612245,0.5178365937859609,0.5246132208157525,0.4999354172048566,0.5594161715319039,0.5311255867901438,0.02239430713307964,12
107,0.727963924407959,0.004827970601302272,0.014376401901245117,0.0003758378937180755,0.6,0.075,20,2,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 50), ('subsample', 0.4)])",0.5979591836734693,0.5283211865490346,0.5096534969952692,0.47229398088349256,0.5470162748643761,0.5310488245931284,0.041591555229608744,13
136,0.49503254890441895,0.005413236265962115,0.01474456787109375,0.000643241969178695,0.6,0.05,12,2,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 50), ('subsample', 0.4)])",0.5618622448979592,0.5221838639560159,0.5108042449814602,0.5129811418238182,0.5446912942392147,0.5305045579796935,0.019743223696231604,14
44,0.7008602142333984,0.01862774765808765,0.014320755004882812,0.0001822274610130494,1.0,0.075,6,6,100,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 1.0)])",0.6230867346938775,0.5056898094872778,0.5097813578826238,0.4549857917850685,0.5586411779901834,0.5304369743678062,0.056765152700563745,15
42,0.7162553310394287,0.014777094115552657,0.014829397201538086,0.00027625037189406846,1.0,0.075,6,6,100,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 1.0)])",0.6230867346938775,0.5056898094872778,0.5097813578826238,0.4549857917850685,0.5586411779901834,0.5304369743678062,0.056765152700563745,15
72,0.7365219593048096,0.01594364890981278,0.015673494338989256,0.0010155842150431924,1.0,0.075,6,6,100,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 1.0)])",0.6230867346938775,0.5056898094872778,0.5097813578826238,0.4549857917850685,0.5586411779901834,0.5304369743678062,0.056765152700563745,15
108,0.4928924083709717,0.005850560154556067,0.014149904251098633,0.00023227349310269373,0.6,0.075,12,2,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 50), ('subsample', 0.4)])",0.5886479591836735,0.5239739163789797,0.5102928014320419,0.4819814001549987,0.5413329888917592,0.5292458132082907,0.035484219183534095,18
48,0.7300992012023926,0.009620421413906092,0.014836692810058593,0.00021972414104796346,1.0,0.05,6,6,100,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('subsample', 1.0)])",0.6267857142857143,0.5054340877125687,0.4948216340621404,0.4591190906742444,0.5600619994833377,0.5292445052436011,0.058537935092579235,19
85,0.2501686573028564,0.003258046908320964,0.014263057708740234,0.00044269792892266896,0.6,0.075,6,6,50,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 50), ('subsample', 0.4)])",0.5674744897959184,0.5310062651834804,0.510548523206751,0.4710023249806251,0.5656161198656677,0.5291295446064886,0.036136283963736776,20
38,0.7209267139434814,0.02005541522097993,0.014938545227050782,0.00035761662783440924,1.0,0.075,6,4,100,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 100), ('subsample', 1.0)])",0.5923469387755101,0.5155350978135789,0.503899757064314,0.47216481529320586,0.5598036683027641,0.5287500554498745,0.04243336488830459,21
