,drug,outcome,data_type,val_auroc,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,vegf,OS,comb,0.7304763369585351,0.5636875439831105,0.523981581702239-0.603393506263982,0.6843551232391749,0.6471435668821853-0.7215666795961645
0,vegf,OS,comb,0.7204816953772062,0.501759324419423,0.4617275337850435-0.5417911150538024,0.6593268884938324,0.6213816730423496-0.6972721039453151
0,reg,PFS,clin,0.8550000000000001,0.2727272727272727,0.17055427510017884-0.37490027035436657,0.4373975515915426,0.32359233169154106-0.5512027714915442
0,reg,PFS,comb,1.0,0.3806818181818182,0.2692879764623059-0.49207565990133045,0.5250961085854133,0.41053282216031367-0.639659395010513
0,reg,PFS,mut,0.775,0.4659090909090909,0.3514681592554403-0.5803500225627416,0.5332403637110926,0.4187862639201021-0.6476944635020832
0,reg,PFS,cna,0.95,0.6420454545454545,0.5320638558829186-0.7520270532079903,0.764743018419489,0.6674341952683487-0.8620518415706293
0,vegf,OS,mut,0.6765695535974172,0.4989444053483462,0.458912456110979-0.5389763545857135,0.6070213510068484,0.5679170828919845-0.6461256191217123
0,vegf,OS,clin,0.6836993927125506,0.5677339901477833,0.5280709780414091-0.6073970022541574,0.7238903468548641,0.6880959632006197-0.7596847305091085
0,vegf,OS,cna,0.7253252427826732,0.4442294159042927,0.4044471848213898-0.4840116469871956,0.5755280760391979,0.5359553978730386-0.6151007542053571
0,vegf,OS,comb,0.7312847635680453,0.6264954257565095,0.58776568272517-0.665225168787849,0.7426137877428746,0.7076102577013811-0.777617317784368
0,vegf,PFS,clin,0.5981876346195847,0.4989331436699858,0.4581084075559114-0.5397578797840602,0.4821038726038394,0.44130520198626333-0.5229025432214156
0,vegf,PFS,cna,0.5954762435855855,0.5211593172119487,0.48037106046280387-0.5619475739610936,0.5419108036327004,0.5012296462795423-0.5825919609858585
0,vegf,PFS,mut,0.5841508549812321,0.5417852062588905,0.501103187582502-0.5824672249352789,0.6008291947393125,0.5608430743566746-0.6408153151219504
0,vegf,PFS,comb,0.5698256345808803,0.4948435277382646,0.4540208697492006-0.5356661857273286,0.5296225461023775,0.48886942722276183-0.5703756649819931
0,egfr,OS,mut,0.7533993212669684,0.5387931034482758,0.47031984808190014-0.6072663588146514,0.6008769739443296,0.5336090169354548-0.6681449309532044
0,egfr,OS,clin,0.7004157239819004,0.6293103448275862,0.5629666379100651-0.6956540517451073,0.5983006078740277,0.5309607222344259-0.6656404935136295
0,egfr,OS,cna,0.6849434389140271,0.603448275862069,0.5362540411839044-0.6706425105402335,0.6328567150678565,0.5666453477970089-0.699068082338704
0,egfr,OS,comb,0.7398020361990949,0.4885057471264368,0.41984361533263503-0.5571678789202386,0.5109241267578224,0.4422602388753044-0.5795880146403404
0,egfr,PFS,mut,0.6838850137957282,0.34921875,0.2831091360930084-0.4153283639069915,0.4993784834446529,0.4300410124843102-0.5687159544049957
0,egfr,PFS,clin,0.6273913090877377,0.49609375,0.42675834151745695-0.565429158482543,0.6263836769043716,0.5592977437502715-0.6934696100584716
0,egfr,PFS,cna,0.6175804849911992,0.5875,0.5192324621011624-0.6557675378988377,0.7502787048660959,0.6902529780274265-0.8103044317047654
0,egfr,PFS,comb,0.6395381899846185,0.42578125,0.3572118610643502-0.4943506389356498,0.6476579938466519,0.5814129480444907-0.7139030396488131
