,drug,outcome,data_type,val_auroc,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,ib,OS,comb,0.6181818181818183,0.5454545454545454,0.4367973991514187-0.6541116917576721,0.5183727665679537,0.40933750764667426-0.6274080254892331
0,vegf,OS,comb,0.5772139615617876,0.6027445460942997,0.5635668151218065-0.641922277066793,0.7145679632095213,0.6784094279221378-0.7507264984969049
0,reg,OS,cna,0.7595238095238096,0.505,0.3932021914347155-0.6167978085652845,0.5466666666666666,0.43535129885471036-0.6579820344786229
0,reg,OS,comb,0.7761904761904763,0.52,0.4082860796498485-0.6317139203501515,0.469490599270011,0.35789553296618715-0.5810856655738349
0,reg,OS,clin,0.5214285714285715,0.4400000000000001,0.3290045045959072-0.550995495404093,0.4368245179313291,0.32591715603289806-0.5477318798297601
0,reg,OS,mut,0.5309523809523811,0.62,0.511464291590279-0.728535708409721,0.5162336274836274,0.40448917139324175-0.6279780835740132
0,egfr,PFS,cna,0.46703030303030296,0.540625,0.4715167224462778-0.6097332775537223,0.6251624641925351,0.5580325159352626-0.6922924124498075
0,reg,PFS,clin,0.6666666666666667,0.4772727272727273,0.36268342147190336-0.5918620330735512,0.5229891877284925,0.4084026317871237-0.6375757436698613
0,egfr,PFS,clin,0.6167272727272727,0.48984375,0.42052053119768107-0.5591669688023189,0.5965942742568111,0.5285629542381833-0.6646255942754387
0,reg,PFS,mut,0.7361111111111113,0.4090909090909091,0.29629497383611214-0.5218868443457061,0.5554505287688514,0.4414502427906194-0.6694508147470833
0,egfr,PFS,mut,0.6300606060606061,0.5218750000000001,0.45260386543346787-0.5911461345665323,0.6532608042133601,0.5872609315602378-0.7192606768664823
0,egfr,OS,cna,0.5459523809523811,0.4877873563218391,0.4191275645488571-0.5564471480948211,0.5884281052667026,0.5208304512102024-0.6560257593232028
0,reg,PFS,comb,0.8111111111111112,0.5795454545454546,0.4662985141519855-0.6927923949389238,0.6128006426134768,0.5010499767668823-0.7245513084600712
0,vegf,PFS,clin,0.5739676528599605,0.4928876244665719,0.45206692594941666-0.5337083229837271,0.4677269679879516,0.4269872697887136-0.5084666661871896
0,vegf,OS,mut,0.5381807725285986,0.5186488388458831,0.4786446547049694-0.5586530229867968,0.6567561738128342,0.6187423856622002-0.6947699619634683
0,reg,PFS,cna,0.7944444444444445,0.4886363636363637,0.37395812549324314-0.6033146017794841,0.7067094670035846,0.6022632591786715-0.8111556748284977
0,vegf,PFS,mut,0.4902157790927021,0.5037339971550499,0.4629103065440622-0.5445576877660375,0.4999902881639591,0.45916545912527396-0.5408151172026442
0,vegf,OS,clin,0.5786000794696446,0.604679802955665,0.5655349258591037-0.6438246800522264,0.7106824201958055,0.6743777163065023-0.7469871240851087
0,vegf,OS,comb,0.5755952903778989,0.6032723434201266,0.5641035090760324-0.6424411777642208,0.7118018935957453,0.6755389685905677-0.7480648186009229
0,vegf,PFS,cna,0.5111897435897437,0.4536806543385491,0.41303138060846506-0.49432992806863313,0.4898558620792043,0.4490394359359758-0.5306722882224327
0,egfr,OS,clin,0.6009523809523809,0.5977011494252874,0.5303448053808151-0.6650574934697597,0.5990015685796642,0.5316810609779661-0.6663220761813624
0,egfr,PFS,comb,0.5254545454545454,0.57265625,0.504054687260464-0.641257812739536,0.6466329718107093,0.580344155667034-0.7129217879543847
0,egfr,OS,comb,0.5852380952380953,0.7270114942528735,0.6658180519051844-0.7882049366005626,0.7496646457958125,0.6901592053215906-0.8091700862700344
0,egfr,OS,mut,0.489047619047619,0.5186781609195402,0.4500458171629559-0.5873105046761246,0.5807488005506382,0.5129700774449162-0.6485275236563601
0,vegf,OS,cna,0.5086565447435012,0.4591836734693878,0.41928524252789273-0.4990821044108828,0.5816950399392318,0.5422009702408348-0.6211891096376287
0,vegf,PFS,comb,0.5193625246548323,0.4692389758179232,0.4284914802391542-0.5099864713966922,0.46376930506326264,0.42305179558274547-0.5044868145437799
