,pretrain,outcome,data_type,val_auroc,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,crc,OS,comb,0.7422554204124803,0.447079536039768,0.4049083002758282-0.48925077180370785,0.6247511076221793,0.5836828926423026-0.6658193226020561
0,crc,OS,mut,0.5361819143310418,0.4644780447390224,0.4221757589108202-0.5067803305672245,0.5459497334392288,0.5037197514208523-0.5881797154576053
0,crc,OS,act,0.74932575356954,0.4600248550124275,0.4177511674478093-0.5022985425770456,0.3008741789409311,0.2619730029690306-0.33977535491283173
0,crc,PFS,comb,0.74204653622422,0.5095571095571096,0.46620953184322805-0.5529046872709912,0.6010548165871569,0.5585940497295109-0.6435155834448029
0,crc,PFS,mut,0.5501216287678476,0.4979020979020979,0.4545469810594228-0.5412572147447731,0.7767777793451736,0.7406707891173251-0.812884769573022
0,crc,PFS,act,0.74932575356954,0.4715617715617716,0.42827645592124564-0.5148470872022975,0.3458550738236232,0.30461131451132095-0.3870988331359255
0,total,OS,act,0.7254996164813836,0.4635459817729908,0.42124940091596413-0.5058425626300176,0.4586809792949559,0.4164165889119648-0.500945369677947
0,total,OS,comb,0.6848970874847453,0.4973073736536867,0.45489854213119246-0.539716205176181,0.5371546719138345,0.4948624774237871-0.5794468664038819
0,total,OS,mut,0.559104792667205,0.474109362054681,0.4317568099697551-0.516461914139607,0.569867845024308,0.5278744844466897-0.6118612056019263
0,total,PFS,act,0.7254996164813836,0.5041958041958042,0.46084183227387826-0.5475497761177303,0.5170539153376063,0.4737236428821382-0.5603841877930743
0,total,PFS,mut,0.5637635218140128,0.5673659673659673,0.5244057806530074-0.6103261540789273,0.6060897018912692,0.5637213764446867-0.6484580273378517
0,total,PFS,comb,0.6848970874847453,0.45769230769230773,0.41449229558116374-0.5008923198034517,0.541740577829677,0.498536417962914-0.5849447376964401
